City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Begin Trip Lat,Begin Trip Lng,Dropoff Time,Dropoff Lat,Dropoff Lng,Distance (miles),Fare Amount,Fare Currency
Natal,UberX,COMPLETED,2021-08-18 10:40:55 +0000 UTC,2021-08-18 10:45:44 +0000 UTC,-5.842145,-35.205715,2021-08-18 11:10:04 +0000 UTC,-5.7875338,-35.204903,4.70,14.98,BRL
Natal,UberX,CANCELED,2021-08-15 20:35:24 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,1970-01-01 00:00:00 +0000 UTC,,,0.00,0,BRL
Natal,UberX,CANCELED,2021-08-15 20:33:14 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-5.831160000000001,-35.22277,1970-01-01 00:00:00 +0000 UTC,-5.83060908317566,-35.22257685661316,0.00,0,BRL
Natal,UberX,COMPLETED,2021-08-13 21:36:30 +0000 UTC,2021-08-13 21:45:44 +0000 UTC,-5.84224,-35.205685,2021-08-13 22:04:39 +0000 UTC,-5.84508,-35.24275,6.14,12.91,BRL
Natal,UberX,COMPLETED,2021-08-06 14:55:23 +0000 UTC,2021-08-06 15:01:01 +0000 UTC,-5.8445454,-35.21053,2021-08-06 15:08:42 +0000 UTC,-5.842231,-35.20563,1.93,7.04,BRL
Natal,UberX,COMPLETED,2021-08-02 16:14:55 +0000 UTC,2021-08-02 16:20:29 +0000 UTC,-5.842203,-35.205612,2021-08-02 16:31:49 +0000 UTC,-5.8266497,-35.22724,2.55,8.97,BRL
Natal,UberX,COMPLETED,2021-08-01 01:52:53 +0000 UTC,2021-08-01 01:56:11 +0000 UTC,-5.875143,-35.17973,2021-08-01 02:03:54 +0000 UTC,-5.842236,-35.205658,3.35,11.98,BRL
Natal,UberX,COMPLETED,2021-07-31 23:23:09 +0000 UTC,2021-07-31 23:25:17 +0000 UTC,-5.83594,-35.219234,2021-07-31 23:40:00 +0000 UTC,-5.875384,-35.179672,4.35,18.9,BRL
Natal,UberX,COMPLETED,2021-07-30 05:29:45 +0000 UTC,2021-07-30 05:41:56 +0000 UTC,-5.8239107,-35.214718,2021-07-30 05:47:38 +0000 UTC,-5.84223,-35.205677,1.97,8.9,BRL
Natal,UberX,COMPLETED,2021-07-23 13:03:55 +0000 UTC,2021-07-23 13:04:43 +0000 UTC,-5.820012,-35.23481,2021-07-23 13:19:08 +0000 UTC,-5.7965517,-35.218906,2.65,9.9,BRL
Natal,UberX,COMPLETED,2021-07-23 11:24:12 +0000 UTC,2021-07-23 11:27:45 +0000 UTC,-5.84218,-35.20572,2021-07-23 11:45:54 +0000 UTC,-5.824523,-35.24343,4.95,12.96,BRL
Natal,UberX,COMPLETED,2021-07-17 20:00:28 +0000 UTC,2021-07-17 20:04:48 +0000 UTC,-5.844436,-35.21058,2021-07-17 20:11:19 +0000 UTC,-5.8422303,-35.20565,1.60,6.9,BRL
Natal,UberX,COMPLETED,2021-07-17 18:51:04 +0000 UTC,2021-07-17 19:02:46 +0000 UTC,-5.8180666,-35.21804,2021-07-17 19:12:07 +0000 UTC,-5.844414,-35.210594,2.59,7.97,BRL
Natal,UberX,COMPLETED,2021-07-15 04:13:33 +0000 UTC,2021-07-15 04:16:15 +0000 UTC,-5.8746114,-35.216114,2021-07-15 04:21:43 +0000 UTC,-5.8422374999999995,-35.205696,2.69,5.98,BRL
Natal,UberX,COMPLETED,2021-07-14 11:51:21 +0000 UTC,2021-07-14 11:52:10 +0000 UTC,-5.78829,-35.20334,2021-07-14 12:08:38 +0000 UTC,-5.8422146,-35.205673,4.75,13.9,BRL
Natal,UberX,COMPLETED,2021-07-14 10:31:58 +0000 UTC,2021-07-14 10:38:02 +0000 UTC,-5.842213,-35.205666,2021-07-14 10:57:19 +0000 UTC,-5.788304,-35.203354,4.68,13.98,BRL
Natal,UberX,COMPLETED,2021-07-11 21:35:15 +0000 UTC,2021-07-11 21:40:35 +0000 UTC,-5.820044,-35.2348,2021-07-11 21:53:46 +0000 UTC,-5.8422412999999995,-35.20574,3.93,14.92,BRL
Natal,UberX,COMPLETED,2021-07-09 19:55:12 +0000 UTC,2021-07-09 19:56:35 +0000 UTC,-5.8444386,-35.210667,2021-07-09 20:06:12 +0000 UTC,-5.8422456,-35.205624,1.60,6.94,BRL
Natal,UberX,COMPLETED,2021-07-09 18:35:00 +0000 UTC,2021-07-09 18:41:01 +0000 UTC,-5.8422594,-35.205605,2021-07-09 18:46:59 +0000 UTC,-5.8444605,-35.210526,1.55,7.1,BRL
Natal,UberX,COMPLETED,2021-07-04 20:52:08 +0000 UTC,2021-07-04 20:57:23 +0000 UTC,-5.7679825000000005,-35.264507,2021-07-04 21:03:46 +0000 UTC,-5.7631397,-35.278233,1.34,10.94,BRL
Natal,UberX,COMPLETED,2021-07-04 20:00:09 +0000 UTC,2021-07-04 20:11:37 +0000 UTC,-5.8422003,-35.205685,2021-07-04 20:37:36 +0000 UTC,-5.7679577,-35.264416,8.45,18.98,BRL
Natal,UberX,COMPLETED,2021-07-03 21:21:57 +0000 UTC,2021-07-03 21:26:52 +0000 UTC,-5.8443249999999995,-35.2106,2021-07-03 21:34:46 +0000 UTC,-5.8421836,-35.205666,1.73,7.37,BRL
Natal,UberX,COMPLETED,2021-06-29 12:37:28 +0000 UTC,2021-06-29 12:39:31 +0000 UTC,-5.8422217,-35.205654,2021-06-29 12:55:27 +0000 UTC,-5.788328,-35.20331,4.67,12.98,BRL
